P00001606T0076|14 33|alkaline phosphatases
P01554334A0000|37 45|IFN-gamma
P01556068A0000|3 29|Klebsiella aerogenes gene maoA
P01556068A0000|62 77|monoamine oxidase
P01557411A1282|8 19|human D1A gene
P01560021A0379|63 78|brain AE3 variants
P01560774A0885|60 67|fliA gene
P01563343A0548|0 2|Lac
P01563343A0548|55 65|CAB promoter
P01563635T0000|48 71|M.HinfI methyltransferase
P01569102A0708|31 41|LDL receptor
P01569584A0672|29 33|6F6.2
P01569584A0672|73 85|m6F6 cDNA clone
P01569584A0672|93 97|6F6.1
P01569584A0672|101 105|6F6.3
P01569584A0672|113 117|6F6.2
P01569584A0672|132 146|alpha-type genes
P01569945A0529|3 10|SEN1 gene
P01572549A0000|0 21|Protein tyrosine kinases
P01572549A0000|23 26|PTKs
P01572549A0000|168 188|growth factor receptors
P01573270A0000|3 8|IA4 mAb
P01573270A0000|89 91|HLA
P01577740A1111|18 38|mung bean and S1 nuclease
P01577819A0709|10 29|PRP-precursor alleles
P01579537A0000|37 50|botulinum toxin
P01581577A1186|0 4|PSI-G
P01581577A1186|8 12|PSI-K
P01581965A0388|120 129|n-chimerin
P01581965A0388|134 139|rho GAP
P01581965A0388|182 184|GAP
P01581965A0388|195 206|small GTPases
P01582413A0759|14 18|Myf-5
P01582413A0759|58 60|E12
P01584812T0000|89 124|zinc-finger transcription factor NGFI-C
P01585014A0000|45 73|gonadotrophin releasing hormone
P01585014A0000|88 91|GnRH
P01585014A0000|351 380|pregnant mare serum gonadotrophin
P01585014A0000|382 385|PMSG
P01585014A0000|394 419|follicle stimulating hormone
P01585014A0000|421 425|FSH-P
P01588315A0356|79 103|polyhedrin primary sequence
P01588315A0356|111 124|polyhedrin gene
P01588913A0000|20 42|Escherichia coli dnaA gene
P01588961A0000|0 3|STP1
P01588965A0000|0 7|GCR1 gene
P01594554A0845|41 43|CCK
P01594554A0845|47 53|trypsin
P01597462A0457|26 30|CDC14
P01601181A0842|3 16|60A transcripts
P01603088A1121|45 46|TR
P01612085A0624|8 21|erythropoietin
P01612085A0624|23 25|EPO
P01615493A0408|3 6|HC II
P01615493A0975|36 39|HC II
P01615493A0975|80 87|thrombin
P01617801A0088|26 36|plasma renin
P01618027A1108|95 114|wild-type E10 fragment
P01620118A0470|59 64|kappa B
P01620118A0470|104 147|human immunodeficiency virus long terminal repeat
P01620129A0417|33 51|nuclear factor HiNF-D
P01620129A0417|91 102|H4-FO108 gene
P01626430A1112|20 24|RAD16
P01626430A1112|26 30|RAD54
P01626430A1112|34 37|SNF2
P01627828A0475|49 51|SmN
P01627828A0475|156 162|SmN gene
P01627830A0000|16 29|casein kinase-1
P01627830A0000|76 79|CKI1
P01627830A0000|83 86|CKI2
P01628806A1347|99 112|helicase region
P01630454A0635|55 66|Act1 promoter
